"quartile","item","item_acc","item_total_n","item_total_success","item_binomial_p","sig_above","sig_below","star_above","star_below","star"
3,"651 v 621",0.833333333333333,6,5,0.2188,"no","no"," "," "," "
3,"653 v 643",0.833333333333333,6,5,0.2188,"no","no"," "," "," "
3,"670 v 270",0.681818181818182,44,30,0.0226,"yes","no","*"," ","*"
3,"681 v 618",0.75,4,3,0.625,"no","no"," "," "," "
3,"683 v 863",0.75,4,3,0.625,"no","no"," "," "," "
3,"690 v 609",0.565217391304348,23,13,0.6776,"no","no"," "," "," "
3,"693 v 613",1,6,6,0.0313,"yes","no","*"," ","*"
3,"72 v 27",0.548780487804878,82,45,0.4397,"no","no"," "," "," "
3,"7300 v 7003",0.608695652173913,23,14,0.4049,"no","no"," "," "," "
3,"735 v 753",0.75,4,3,0.625,"no","no"," "," "," "
3,"751 v 571",0.478260869565217,23,11,1,"no","no"," "," "," "
3,"765 v 567",1,4,4,0.125,"no","no"," "," "," "
3,"782 v 382",0.666666666666667,6,4,0.6875,"no","no"," "," "," "
3,"794 v 749",0.75,4,3,0.625,"no","no"," "," "," "
3,"807 v 78",0.958333333333333,24,23,0,"yes","no","*"," ","*"
3,"846 v 836",0.666666666666667,6,4,0.6875,"no","no"," "," "," "
3,"851 v 854",0.666666666666667,6,4,0.6875,"no","no"," "," "," "
3,"874 v 875",0.666666666666667,6,4,0.6875,"no","no"," "," "," "
3,"891 v 89",0.973684210526316,38,37,0,"yes","no","*"," ","*"
3,"899 v 988",0.565217391304348,23,13,0.6776,"no","no"," "," "," "
3,"945 v 942",0.833333333333333,6,5,0.2188,"no","no"," "," "," "
3,"974 v 174",0.666666666666667,6,4,0.6875,"no","no"," "," "," "
3,"984 v 894",0.5,4,2,1,"no","no"," "," "," "
4,"100 v 10",1,87,87,0,"yes","no","*"," ","*"
4,"101 v 99",0.977272727272727,44,43,0,"yes","no","*"," ","*"
4,"1010 v 101",1,31,31,0,"yes","no","*"," ","*"
4,"11 v 19",1,44,44,0,"yes","no","*"," ","*"
4,"11 v 24",0.933333333333333,15,14,0.001,"yes","no","*"," ","*"
4,"123 v 321",0.885057471264368,87,77,0,"yes","no","*"," ","*"
4,"124 v 184",1,8,8,0.0078,"yes","no","*"," ","*"
4,"132 v 231",1,6,6,0.0313,"yes","no","*"," ","*"
4,"14 v 41",1,44,44,0,"yes","no","*"," ","*"
4,"15 v 105",1,15,15,1e-04,"yes","no","*"," ","*"
4,"16 v 62",0.973333333333333,75,73,0,"yes","no","*"," ","*"
4,"18 v 81",0.916666666666667,12,11,0.0063,"yes","no","*"," ","*"
4,"2 v 8",1,12,12,5e-04,"yes","no","*"," ","*"
4,"201 v 21",1,15,15,1e-04,"yes","no","*"," ","*"
4,"206 v 260",1,15,15,1e-04,"yes","no","*"," ","*"
